Date,AAPL,MSFT,AMZN,FB,JPM,GOOG,GOOGL,JNJ,XOM,BAC,WFC,V,UNH,CVX,PFE,T,INTC,HD,VZ,PG,CSCO,BA,MA,C,KO,MRK,DIS,PEP,CMCSA,DWDP,NVDA,NFLX,ABBV,ORCL,PM,AMGN,WMT,ADBE,MCD,MMM,IBM,MDT,HON,UNP,GE,ABT,MO,TXN,ACN,GILD,NKE,UTX,CRM,BKNG,COST,BMY,QCOM,PYPL,LLY,TMO,SLB,AVGO,COP,CAT,USB,GS,UPS,LOW,LMT,NEE,BIIB,EOG,AXP,SBUX,PNC,MS,BDX,ANTM,AMT,CVS,CB,CELG,MDLZ,OXY,AGN,DHR,CSX,MU,TJX,AET,SCHW,FDX,ISRG,CL,ADP,BLK,WBA,RTN,DUK,ATVI,CME
2015-01-02,103.86395724039,43.344312280165994,308.52,78.45,58.15282658886699,524.81,529.55,96.22778279323299,83.472154193587,17.221568681577,50.171164097943,64.958977937785,96.350794563334,100.13207247465,28.097890798365,29.007725266848002,33.034703513051,97.51086017843001,41.401793542121275,82.193051116632,25.157858611251,119.23429154902,83.77196250102101,52.829656287624,38.527414179321,52.449748350388,90.586145533267,87.319363056415,27.267272765724,,19.555005423159002,49.84857142857143,59.166809310955,42.369653110316,71.915893500778,149.54590768016,79.600659121223,72.34,85.783316887628,152.85729564342,145.5303351754,67.922829067348,94.61309477291701,111.17549726321998,22.885078190233003,41.911850121591,44.130155957113,49.496156180095994,83.567917862542,89.7049964842,46.003795074801,107.57442413657,59.24,,132.89132257747,55.60343267379599,66.906627609249,,65.188008661572,126.67293103403,79.15802127428199,96.161930010213,62.571078654497995,82.560201928633,42.024879970779,187.18937233711003,101.76244619562,64.337014163557,178.96400777448997,98.418583419634,342.01,90.14367832064801,88.59885813470899,38.881278341832,85.357632396879,36.500600087373,133.69999451594998,119.64787157963998,94.410930619351,89.833932550754,94.873527390902,113.52,35.114917904225,71.498799408635,256.71045321329,63.747901151128,33.774566974727996,34.75,65.518373407094,86.110885025814,29.473553229546,168.79900032933,175.19,64.595208968947,78.100827366673,332.9813649179,72.391320987147,101.63359176825001,74.710183288575,19.647773195276717,78.255934576139
2015-01-05,100.9379443592,42.941087818193004,302.19,77.19,56.347473995133,513.87,519.46,95.55569820235,81.18820211288299,16.721277300883,48.795355210431005,63.525086077035,94.76375031869101,96.12963575288799,27.945428575712,28.733663498751998,32.662199980588,95.465045940905,41.057954115344714,81.80226151048299,24.656706049274,118.40850576683998,81.41563162301699,51.164733466912004,38.527414179321,53.229295230923995,89.26237999320699,86.662896010988,26.713369142846,,19.224717204386998,47.311428571428564,58.053334678301,41.777070549332,71.37443836580499,147.76882828437002,79.368992476516,71.98,84.835892306947,149.4099471497,143.24042801325,67.63934480579799,92.81013147833099,107.41684500771,22.465000936939997,41.921184609368,43.877829151559,48.723357182145996,82.156933207051,91.47716873589,45.263125744438,105.77902345557,58.17,,131.380447432,54.734483045387,66.591370209367,,64.54599144809,124.93280959616001,77.014369945271,94.624722616703,59.593232775409994,78.202159053645,41.012458146812,181.34481963876,99.724984643779,62.797487384459,175.2423414807,97.376189575186,336.74,84.710039427947,86.255779323578,38.136499434499,82.744835457181,35.359661670796,134.52211660435,117.54978998012,93.046911956846,88.945984111241,93.66582822773,111.93,34.589959903482,68.84806896558699,254.29323596387997,63.115776606349,32.860722345287,33.775,64.785678236561,84.94722441735699,28.488500656355,166.20510441241,171.45666666667,64.11804273815099,78.04456551480699,324.36583497034,70.96254491503299,100.33755526518,73.634641090131,19.374480771298703,78.69986431618901
2015-01-06,100.94744440102,42.315394687544,295.29,76.15,54.886441225978004,501.96,506.64,95.08615965255501,80.756589121254,16.22098592019,47.777256633671996,63.115752844991,94.572540168734,96.085164233758,28.178606092711,28.776485650016998,32.053474695831,95.172786764116,41.472324706588246,81.429648165085,24.647594184511,117.01384533472,81.23964010515701,49.363501175498,38.819981159324996,55.320315098712996,88.788916405887,86.006428965562,26.364892383119003,,18.641855641849002,46.50142857142857,57.765986386003,41.345786269745,71.986904010282,143.00812611356,79.980592418542,70.53,84.992263354244,147.81671311611,140.15129835138,67.299163691939,92.593020715109,105.19539716593,21.980998884233998,41.445125732708995,44.139167628740005,47.922792950735996,81.56431965174501,92.294730868003,44.996872063588,104.28285622140999,57.2,,133.11654620164,54.641047601471996,65.64559800971999,,64.871652353479,123.7661372685,75.508270089113,92.47263226579099,57.132878405797,77.698962350554,40.468750130237005,177.67632774736998,99.07041554793899,62.940036160301,174.4183904853,97.754403270959,334.65,82.296174668059,84.417510175008,37.826174889776,80.601966024624,34.341303414677,134.26400850683,119.15196138338999,92.800630809449,89.01210793120501,92.72548231441999,110.51,34.351342630417,68.262957897891,252.78742849703,62.684444564029,31.551192412375002,32.87,64.467534280935,85.07328764994,27.444930108518,166.19531612593,173.26333333333,63.44439629467399,77.392865730681,319.32532990893,71.143523217501,99.97994627060999,74.843514966068,19.01334435389918,77.496814720652
2015-01-07,102.36295063250999,42.853027303509,298.42,76.15,54.970194696821004,501.1,505.15,97.185273169285,81.574855417884,16.297953824912,48.061590470424996,63.961381378254,95.538151426017,96.00511549932199,28.564245832363,28.810743371029,32.725798144667,98.434776285699,41.207832839837046,81.856790292736,24.875390803592,118.83057405551001,82.500912649816,49.821111541425,39.304545219957,56.503392129173,89.69719349176701,88.52134497057502,26.341024111904996,,18.588426665283002,46.74285714285714,60.10069126092301,41.355370364847005,72.52835914525501,148.00265452066003,82.102658884056,71.11,86.473189155114,148.88818629659,139.23533548652,68.981170310468,93.263232201578,105.7765354199,21.990130998435998,41.781167292704,44.950218075164,48.783515187974004,83.27631436707401,94.02437098565201,45.926339458554004,105.41433269224001,56.93,,135.43447266705,55.351156975226004,66.41122312371999,,64.415727085935,127.4737823776,75.499030212695,94.97059428024299,57.514187939095,78.903040175808,40.824972623855,180.32418934876998,99.99234385194,64.812176749699,176.66805443902,98.64920152681299,353.24,81.778219881525,86.255779323578,38.757148523943,81.53242248875999,34.831624056512,137.40910347292,119.74323892507,93.776283047213,90.61797213032499,93.970057787918,114.55,35.42989270467,68.271823217098,262.75349633683,63.063719290897,31.965719873153,32.1,65.78831373307901,86.77998987567699,27.981344876098,167.41885193578997,174.21333333333,63.949631127280995,78.07269644074,326.08334039867003,72.96283141599301,101.2315777516,75.083511985555,18.598525496075407,78.397992092955
2015-01-08,106.29596794683,44.113683092666996,300.46,78.175,56.198578935856,502.68,506.91,97.94942414248001,82.93263795405,16.634688408071,49.125549343434,64.819265397507,100.09851350249001,98.20200854437799,29.147189624859998,29.09737422157,33.334523429423,100.61257853855,42.09104900159153,82.79286772142,25.066739963619,120.93174010128,83.78417310542301,50.57081363028401,39.779966562464,57.640613460778,90.624795622027,90.13015153260599,26.913862621044,,19.292717720016,47.779285714285706,60.729265650325004,41.604556837497,73.62014572888799,147.46953070193,83.835525386462,72.915,86.795129546607,152.4566578455,142.26160495179,70.634828502842,94.962359913752,109.74139802358,22.254962310293998,42.639940168246,45.707198491827,49.579451880474004,84.54620055701601,96.68971805219401,46.986513205937,107.20973337324,58.59,,136.59812805859,56.734001545167,67.10929308060099,,65.941681042615,128.79864756325,76.413777978091,99.71672210770299,58.948638088168,79.71174916292,41.124949460586,183.20313705356003,101.79010404474,66.180644997786,180.64894127069,99.248808605478,350.25,84.905494064375,87.47845260745599,39.382571837153,83.10198036260701,35.350232427683004,139.91370797479,125.45574291648,94.64773941492399,92.545009169268,95.454329278535,115.05,35.878493178031995,68.874664923209,266.44866860743997,64.037934765792,32.474458120471,33.67,66.135379866489,89.59216967944799,28.712819559161,171.33416652737,177.66666666667,64.819757783439,79.863698725172,329.89172200063,73.867722928333,103.14196264363001,75.385730454539,18.788854148488664,78.762014479797
2015-01-09,106.40996844870001,43.742901978207996,296.93,77.74,55.221455109351,496.17,500.72,96.614461598946,82.81574276881699,16.336437777272998,48.318408129427006,63.858435295944005,99.16158376770201,96.245261702628,29.281715115436,29.010516388073,33.398121593502005,98.887306623953,41.71635123599871,82.020376639497,25.321872176989004,120.6931797642,82.716422039307,49.441392301613,39.341116092458,57.374650407419004,91.06927164277701,89.51991456080098,26.870899732859,,19.370432595021,47.04142857142857,59.068033335478,41.585388647293,73.42486682775,145.65503910833002,82.797658818176,71.84,85.73732540312899,150.58390906918,142.88122688978,70.304096864367,93.38594698079099,107.77302651820999,21.944470427426,42.191884754920004,45.599058432304,49.607217113933004,84.452134913316,96.60465378411301,46.468528772284,106.62061752479,58.16,,134.49604089968,56.360259769506996,67.03273056920101,,65.067048896713,128.28452077478997,75.046276268205,100.77835596385,58.939559289756005,78.759269689211,40.271890331132,180.39158946226001,101.04334211850001,64.935719022095,180.54710463081003,98.372459798198,342.34,85.472312510016,86.37040494394199,38.093531420614,81.551219589046,34.775048597838,138.25990423882,123.78681437141,94.16464947195401,92.497777869294,94.781336615087,113.67,35.525339613896,68.741685135097,266.17128302145,63.606602723472,32.408510569893,33.525,65.31591816260399,88.283051494934,27.747272977518,169.00455434538,173.62333333333,64.18353614237701,79.291703231191,325.98066344372,72.076990251282,102.29499397228001,75.492395796534,18.447238618516145,78.83304323820501
2015-01-12,103.78795690580999,43.195999834383,291.41,76.72,54.746852107906,492.55,497.06,96.283022622621,81.22416986218501,16.047808134565,47.740568396672,63.733429338853,98.043004390454,94.172888911138,29.389335507897,29.08868843822,33.252754361321,98.444204001079,42.001835247878944,81.720468337103,25.558780660833,120.07842812636001,81.658466854531,49.051936671037,38.984550085578,57.136200773372,91.272184608772,89.15007397182899,26.813615881945,,19.127573610631,45.54714285714285,59.050074067208996,41.47037950607,73.717785179457,146.11333853146002,83.41852542599,71.12,85.553359465133,149.76399915716001,140.48355939059,70.37024319206199,92.932846257544,106.82633355610001,21.898809856416,42.54659529047,45.887431924366,49.162973378584006,84.19815767532799,95.659495249878,46.405596084083996,107.02271246897,57.73,,133.74529548578002,58.098159026326,66.267105455202,,64.59251443457501,127.04863907176001,72.117235443652,99.111446696509,57.259981583563004,78.076359877873,39.896919285219,178.19627148000998,101.08021925066,64.479562939399,180.03792143141,98.123392242445,347.84,82.589356622702,85.491608521155,38.303597266272,80.977908030335,34.294157199116,137.23703140790002,122.86175112071001,93.75733834356701,91.817647149667,93.840990701778,117.0,35.191275431605,66.445567460349,269.73766912714,62.818306232336,31.946877715844998,31.66,64.978492755122,86.80908139088801,27.474189095840998,168.91645976707,175.17,63.865425321847,78.902558755778,323.83378165830004,72.105565772724,100.36578755421999,75.56350602453,18.40819684366214,77.785369051685
2015-01-13,104.70946096255,42.968896401777,294.74,76.45,54.756158049111,496.18,501.8,96.448742110783,80.92743593044099,15.826525408489001,47.55712721167,63.919712725890996,98.540150780342,92.67864586834699,29.093379428629998,29.08868843822,33.161899841209,97.793691639839,42.58172464701065,82.065817291374,25.599784052268,120.35369005375,81.844588600001,48.701426603519,38.975407367452995,57.035318235891,91.97754872865801,89.085351868758,27.133450716214,,19.093573352816,46.25571428571429,57.361902849959,41.144520272604,73.762166747897,145.10320919069,82.760592155023,70.59,85.387790120936,149.65219326007,140.8158204298,68.782731327383,93.593618145612,104.82046926014,21.789224485991998,41.865177682702,46.247898789443,48.857555810532,84.499167735166,91.87886111294,45.994113122771,106.91985097162,57.97,,132.40333805844,58.976452199125994,65.726664198262,,64.555296045387,126.89044621376999,71.867758780362,98.55420901636101,56.688017283617,77.609105796431,39.465702582418,178.06147125303002,101.51352555354,64.48906619112199,179.92682691518002,98.51083066250601,352.74,83.126856872879,85.233700875337,38.60914758723,79.887676213771,33.9735629333,135.47807252108998,124.24457762948,92.715379643042,91.855432189646,94.255849192944,119.98,34.957430504002,66.463298098764,267.37989164615004,62.729065120131,31.607718884299,30.835,64.74711533284899,87.83698159502501,27.493695087389003,167.86911311383002,173.88666666667,64.305166750227,78.747838663144,324.81387986468997,71.68645812490401,99.89524940347499,75.972389835509,18.115383532257127,77.359196501236
2015-01-14,104.31045920603,42.598115287319004,293.27,76.28,52.867051984533994,500.87,505.93,95.74903760520701,80.69364555997501,15.432064896788,47.006803656665,62.640239988606005,98.788723975286,92.411816753563,29.129252892782997,28.949715904625002,33.025618061039,96.766070663386,42.392191747988356,81.784085249732,25.440326418911,119.62883364495,81.756425667936,47.756996699373,38.911408340577005,57.44801952558699,91.04994659839701,89.381224339937,26.646537983446002,,19.176145407509,46.32,57.642423277211,41.26911350893,74.046208785915,145.1219152896,80.25859239219,69.99,84.201209820861,148.92545492896002,139.90883759303,67.81888483811301,93.159396619167,104.37992897084,21.716167572375998,41.55548235351,46.617377326148,48.783515187974004,83.511478476322,93.816436108121,45.364786240761994,106.15306526411,57.25,,130.73292951252,58.817611944471,65.051112627086,,64.90887074266699,124.77461673818001,72.43139124186901,99.332420259326,56.85143565503,77.33953613406,38.753257595182,173.53603506156003,100.83129860858,64.042413360149,178.88994476367,99.11966246545799,348.75,85.91013089561501,83.170439708793,38.394307517807,78.450983503822,33.200364998099,134.60815263686,125.7036980146,92.128093830019,91.94044852959999,93.29706512447099,121.1,34.881072976621,66.915429378348,263.93238507732,61.739976126536,31.701929670840002,30.05,63.850527821539,87.40912515860501,26.557407493069,169.09264892369,178.45333333333,64.04319313332,78.51810276801999,322.73233795970003,71.429278431924,99.801141773326,76.167942962498,18.476519949656645,75.476934403421
2015-01-15,101.47944674306,42.1578127139,286.95,74.05,51.173370685258,501.79,504.01,94.358835232285,79.992274448578,14.623901897205,46.520684516411,62.044623369525006,99.86906132254299,91.317817382948,29.057505964476,28.888915421177,32.880250828859,95.229353056397,42.50952163785931,81.66593955485,24.975621315987002,119.40862410303998,80.571124025734,45.984973580251996,38.746839414324,56.75101290299,91.165896864679,89.381224339937,26.732463759816998,,19.04014437625,46.25142857142857,56.909450547940004,40.856997419546,73.51362996463101,142.09152726731,80.972125657887,70.29,84.054037070464,148.75774608331002,138.80429413835,67.941728018118,91.667940071814,103.85502990274,21.533525288335,41.245787024317,47.284241026541004,48.482725158832,82.937678049756,92.058441234444,44.929098399371995,106.15306526411,55.11,,130.73292951252,57.584264084793,64.294494867369,,64.890261548073,122.72799663795,70.805172992275,97.34365819397301,55.752901047196,76.39604231576399,38.378286549268,171.86066081195,100.75754434426001,63.054075180975,178.09376739733997,98.74144876968501,339.88,84.72536615452,82.03373564018699,37.99327272155,77.902771811867,32.60632268203,134.47431880851002,127.87807349046001,91.19980335137,91.789308369682,93.315503279634,118.27,34.87630063116,67.36756065793101,261.28731538226003,61.003736950852,32.135299288926,29.3,62.93465885837401,88.00228976364201,26.011239729714998,170.16936043638,174.79333333333,63.92156252547,78.485283354431,319.65202931106,71.22924978182701,99.631748039057,77.11904226194801,18.105623088543624,75.352634076207
